ID,Name,Development,BT,BP,BM,Trade good,Trade node,Modifiers,Type,Continent,Superregion,Region,Area
63,Erfurt,12,5,4,3,,Saxony,Emporium,Land,Europe,Western Europe,North Germany,Thuringia
64,Landshut,12,5,5,2,,Wien,,Land,Europe,Western Europe,South Germany,Lower Bavaria
65,München,15,6,5,4,,Wien,,Land,Europe,Western Europe,South Germany,Upper Bavaria
66,Bamberg,6,2,2,2,,Rheinland,,Land,Europe,Western Europe,South Germany,Upper Franconia
67,Nürnberg,19,8,8,3,,Rheinland,Market Town,Land,Europe,Western Europe,South Germany,Upper Franconia
68,Memmingen,13,5,5,3,,Wien,,Land,Europe,Western Europe,South Germany,East Swabia
69,Dortmund,12,6,5,1,,Rheinland,Emporium,Land,Europe,Western Europe,North Germany,North Westphalia
70,Stuttgart,11,4,4,3,,Wien,,Land,Europe,Western Europe,South Germany,West Swabia
71,Ansbach,8,3,3,2,,Rheinland,,Land,Europe,Western Europe,South Germany,Lower Franconia
72,Breisgau,11,4,4,3,,Rheinland,,Land,Europe,Western Europe,South Germany,Baden
73,Inntal,9,3,4,2,,Wien,,Land,Europe,Western Europe,South Germany,Tirol
74,Baden,8,3,3,2,,Rheinland,,Land,Europe,Western Europe,South Germany,Baden
75,Straßburg,16,6,6,4,,Rheinland,Emporium,Land,Europe,Western Europe,South Germany,Alsace
76,Salzburg,14,5,5,4,,Wien,Emporium,Land,Europe,Western Europe,South Germany,East Bavaria
77,Heidelberg,13,5,4,4,,Rheinland,,Land,Europe,Western Europe,South Germany,Palatinate
78,Mainz,10,4,4,2,,Rheinland,Emporium,Land,Europe,Western Europe,North Germany,Hesse
79,Würzburg,11,4,4,3,,Rheinland,,Land,Europe,Western Europe,South Germany,Lower Franconia
80,Trier,12,5,5,2,,Rheinland,,Land,Europe,Western Europe,North Germany,Lower Rhineland
81,Oberhessen,10,4,3,3,,Rheinland,,Land,Europe,Western Europe,North Germany,Hesse
82,Westfalen,7,3,3,1,,Rheinland,,Land,Europe,Western Europe,North Germany,South Westphalia
83,Nassau,9,3,3,3,,Rheinland,,Land,Europe,Western Europe,North Germany,North Rhine
84,Berg,9,4,4,1,,Rheinland,,Land,Europe,Western Europe,North Germany,North Rhine
85,Köln,15,6,6,3,,Rheinland,Market Town,Land,Europe,Western Europe,North Germany,North Rhine
86,Münster,12,4,4,4,,Rheinland,,Land,Europe,Western Europe,North Germany,North Westphalia
87,Calais,13,5,5,3,,English Channel,Natural Harbor,Land,Europe,Western Europe,France,Picardy
88,Artois,15,6,6,3,,English Channel,,Land,Europe,Western Europe,France,Picardy
89,Picardie,17,6,6,5,,English Channel,,Land,Europe,Western Europe,France,Picardy
90,Bruges,18,7,7,4,,English Channel,Entrepot,Land,Europe,Western Europe,Low Countries,Flanders
91,Hainaut,15,6,6,3,,Champagne,,Land,Europe,Western Europe,Low Countries,Wallonia
92,Brussels,18,7,7,4,,English Channel,,Land,Europe,Western Europe,Low Countries,South Brabant
93,Liège,15,6,6,3,,Champagne,,Land,Europe,Western Europe,Low Countries,Wallonia
94,Luxemburg,12,5,5,2,,Champagne,,Land,Europe,Western Europe,Low Countries,Wallonia
95,Breda,9,4,3,2,,English Channel,,Land,Europe,Western Europe,Low Countries,North Brabant
96,Zeeland,11,5,5,1,,English Channel,,Land,Europe,Western Europe,Low Countries,Holland
97,Amsterdam,16,6,6,4,,English Channel,Entrepot,Land,Europe,Western Europe,Low Countries,Holland
98,Utrecht,12,5,5,2,,English Channel,,Land,Europe,Western Europe,Low Countries,Holland
99,Gelre,15,6,6,3,,English Channel,,Land,Europe,Western Europe,Low Countries,Frisia
100,Friesland,14,6,6,2,,English Channel,,Land,Europe,Western Europe,Low Countries,Frisia
101,Genoa,25,10,10,5,,Genoa,World Port,Land,Europe,Western Europe,Italy,Liguria
102,Nice,10,4,4,2,,Genoa,,Land,Europe,Western Europe,Italy,Liguria
103,Turin,17,7,7,3,,Genoa,,Land,Europe,Western Europe,Italy,Piedmont
104,Milan,21,8,7,6,,Genoa,Market Town,Land,Europe,Western Europe,Italy,Lombardy
105,Parma,15,6,5,4,,Venice,,Land,Europe,Western Europe,Italy,Emilia-Romagna
106,Modena,12,5,5,2,,Venice,,Land,Europe,Western Europe,Italy,Emilia-Romagna
107,Brescia,13,5,5,3,,Venice,,Land,Europe,Western Europe,Italy,Po Valley
108,Verona,13,5,5,3,,Venice,Emporium,Land,Europe,Western Europe,Italy,Venetia
109,Mantua,19,8,8,3,,Venice,Emporium,Land,Europe,Western Europe,Italy,Po Valley
110,Trentino,8,4,3,1,,Wien,,Land,Europe,Western Europe,South Germany,Tirol
111,Friuli,12,5,5,2,,Venice,,Land,Europe,Western Europe,Italy,Venetia
112,Venezia,27,10,12,5,,Venice,World Port,Land,Europe,Western Europe,Italy,Venetia
113,Ferrara,14,6,6,2,,Venice,Po Estuary,Land,Europe,Western Europe,Italy,Emilia-Romagna
114,Ravenna,11,4,5,2,,Venice,,Land,Europe,Western Europe,Italy,Emilia-Romagna
115,Pisa,15,6,6,3,,Genoa,Natural Harbor,Land,Europe,Western Europe,Italy,Tuscany
116,Firenze,28,10,12,6,,Genoa,Market Town,Land,Europe,Western Europe,Italy,Tuscany
117,Siena,20,8,8,4,,Genoa,,Land,Europe,Western Europe,Italy,Tuscany
118,Roma,25,9,9,7,,Genoa,"Religious Center
The Conquest of Rome
Natural Harbor",Land,Europe,Western Europe,Italy,Lazio-Umbria
119,Ancona,14,5,5,4,,Venice,,Land,Europe,Western Europe,Italy,Marche-Abruzzo
120,Abruzzi,13,5,5,3,,Venice,,Land,Europe,Western Europe,Italy,Marche-Abruzzo
121,Napoli,22,8,8,6,,Genoa,Entrepot,Land,Europe,Western Europe,Italy,Campania
122,Salento,8,3,3,2,,Venice,,Land,Europe,Western Europe,Italy,Apulia
123,Calabria,6,2,2,2,,Genoa,,Land,Europe,Western Europe,Italy,Calabria
124,Messina,17,6,6,5,,Genoa,,Land,Europe,Western Europe,Italy,Eastern Sicily
125,Palermo,13,5,5,3,,Genoa,Natural Harbor,Land,Europe,Western Europe,Italy,Western Sicily
126,Malta,8,3,3,2,,Genoa,,Land,Europe,Western Europe,Italy,Eastern Sicily
127,Sassari,8,3,3,2,,Genoa,,Land,Europe,Western Europe,Italy,Western Mediterranean Islands
128,Unterkärnten,10,4,3,3,,Wien,,Land,Europe,Western Europe,South Germany,Inner Austria
129,Krain,10,4,4,2,,Venice,,Land,Europe,Western Europe,South Germany,Carniola
130,Istria,8,2,3,3,,Venice,Natural Harbor,Land,Europe,Western Europe,South Germany,Carniola
131,Zagreb,7,3,3,1,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Croatia
132,Steiermark,11,4,4,3,,Wien,,Land,Europe,Western Europe,South Germany,Inner Austria
133,Ob der Enns,11,4,4,3,,Wien,,Land,Europe,Western Europe,South Germany,Austria Proper
134,Wien,18,6,6,6,,Wien,Market Town,Land,Europe,Western Europe,South Germany,Austria Proper
135,Sopron,8,3,3,2,,Pest,,Land,Europe,Eastern Europe,Carpathia,Transdanubia
136,Split,9,4,3,2,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Dalmatia
137,Ragusa,14,5,6,3,,Ragusa,Entrepot,Land,Europe,Eastern Europe,Balkans,Dalmatia
138,Zeta,5,2,2,1,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Rascia
139,Hum,8,3,3,2,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Bosnia
140,Bosnia,7,3,3,1,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Bosnia
141,Smederevo,8,3,3,2,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Serbia
142,Corfu,6,2,1,3,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Northern Greece
143,Vlorë,4,2,1,1,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Albania
144,Epirus,4,2,1,1,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Northern Greece
145,Morea,6,3,2,1,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Morea
146,Athens,11,4,4,3,,Ragusa,Natural Harbor,Land,Europe,Eastern Europe,Balkans,Morea
147,Thessaly,12,5,5,2,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Northern Greece
148,Macedonia,10,4,4,2,,Ragusa,Entrepot,Land,Europe,Eastern Europe,Balkans,Macedonia
149,Edirne,14,6,5,3,,Constantinople,,Land,Europe,Eastern Europe,Balkans,Thrace
150,Nikopol,8,2,4,2,,Constantinople,,Land,Europe,Eastern Europe,Balkans,Bulgaria
151,Constantinople,20,8,8,4,,Constantinople,"Bosphorus Sound Toll
Entrepot",Land,Europe,Eastern Europe,Balkans,Thrace
152,Varasd,6,3,2,1,,Pest,,Land,Europe,Eastern Europe,Balkans,Slavonia
153,Pest,11,5,4,2,,Pest,Market Town,Land,Europe,Eastern Europe,Carpathia,Transdanubia
154,Hont,8,3,3,2,,Pest,,Land,Europe,Eastern Europe,Carpathia,Slovakia
155,Békés,6,2,2,2,,Pest,,Land,Europe,Eastern Europe,Carpathia,Alföld
156,Temes,8,3,3,2,,Pest,,Land,Europe,Eastern Europe,Carpathia,Southern Transylvania
157,Bihar,5,2,2,1,,Pest,,Land,Europe,Eastern Europe,Carpathia,Northern Transylvania
158,Maros,8,3,3,2,,Pest,,Land,Europe,Eastern Europe,Carpathia,Northern Transylvania
159,Silistria,6,2,2,2,,Constantinople,,Land,Europe,Eastern Europe,Balkans,Silistria
160,Oltenia,8,3,3,2,,Pest,,Land,Europe,Eastern Europe,Carpathia,Wallachia
161,Tîrgoviste,13,5,5,3,,Pest,Emporium,Land,Europe,Eastern Europe,Carpathia,Wallachia
162,Zemplén,7,3,2,2,,Pest,,Land,Europe,Eastern Europe,Carpathia,Slovakia
163,Crete,13,5,5,3,,Ragusa,,Land,Europe,Eastern Europe,Balkans,Morea
164,Naxos,6,2,2,2,,Constantinople,,Land,Europe,Levant,Anatolia,Aegean Archipelago
165,Bern,13,5,5,3,,Champagne,Emporium,Land,Europe,Western Europe,South Germany,Romandie
166,Waldstätte,10,4,4,2,,Rheinland,,Land,Europe,Western Europe,South Germany,Switzerland
167,Caux,12,4,4,4,,English Channel,Seine Estuary,Land,Europe,Western Europe,France,Normandy
168,Caen,12,4,4,4,,English Channel,,Land,Europe,Western Europe,France,Normandy
169,Armor,12,4,4,4,,Bordeaux,,Land,Europe,Western Europe,France,Brittany
170,Finistère,10,3,3,4,,Bordeaux,Natural Harbor,Land,Europe,Western Europe,France,Brittany
171,Vannetais,9,3,3,3,,Bordeaux,,Land,Europe,Western Europe,France,Brittany
172,Nantais,12,4,4,4,,Bordeaux,Loire Estuary,Land,Europe,Western Europe,France,Brittany
173,Labourd,10,3,3,4,,Bordeaux,,Land,Europe,Western Europe,France,Gascony
174,Bordeaux,21,8,8,5,,Bordeaux,"Natural Harbor
Gironde Estuary",Land,Europe,Western Europe,France,Guyenne
175,Armagnac,15,5,5,5,,Bordeaux,,Land,Europe,Western Europe,France,Gascony
176,Béarn,12,4,4,4,,Bordeaux,,Land,Europe,Western Europe,France,Gascony
177,Maine,16,6,6,4,,Bordeaux,,Land,Europe,Western Europe,France,Loire Valley
178,Anjou,15,5,5,5,,Bordeaux,,Land,Europe,Western Europe,France,Loire Valley
179,Berry,12,4,4,4,,Champagne,,Land,Europe,Western Europe,France,Orléanais
180,Haut-Poitou,12,4,4,4,,Bordeaux,,Land,Europe,Western Europe,France,Poitou
181,Rethel,14,6,6,2,,Champagne,,Land,Europe,Western Europe,France,Champagne
182,Valois,14,5,5,4,,Champagne,,Land,Europe,Western Europe,France,Île-de-France
183,Paris,23,8,8,7,,Champagne,,Land,Europe,Western Europe,France,Île-de-France
184,Orleanais,17,6,6,5,,Champagne,Emporium,Land,Europe,Western Europe,France,Orléanais
185,Nemours,15,5,5,5,,Champagne,,Land,Europe,Western Europe,France,Île-de-France
186,Reims,16,6,6,4,,Champagne,Market Town,Land,Europe,Western Europe,France,Champagne
187,Barrois,10,3,4,3,,Champagne,,Land,Europe,Western Europe,France,Lorraine
188,Metz,17,6,6,5,,Champagne,Emporium,Land,Europe,Western Europe,France,Lorraine
189,Lothringen,15,5,5,5,,Champagne,,Land,Europe,Western Europe,France,Lorraine
190,Bourbonnais,12,4,4,4,,Bordeaux,,Land,Europe,Western Europe,France,Auvergne
191,Nivernais,13,5,5,3,,Champagne,,Land,Europe,Western Europe,France,Western Burgundy
192,Dijonnais,20,7,7,6,,Champagne,Market Town,Land,Europe,Western Europe,France,Eastern Burgundy
193,Franche-Comté,10,3,4,3,,Champagne,,Land,Europe,Western Europe,France,Eastern Burgundy
194,Périgord,9,3,3,3,,Bordeaux,,Land,Europe,Western Europe,France,Guyenne
195,Limousin,8,3,3,2,,Bordeaux,,Land,Europe,Western Europe,France,Auvergne
196,Toulouse,15,5,5,5,,Valencia,,Land,Europe,Western Europe,France,Languedoc
197,Roussillon,8,3,3,2,,Valencia,,Land,Europe,Western Europe,Iberia,Catalonia
198,Rouergue,8,3,3,2,,Bordeaux,,Land,Europe,Western Europe,France,Guyenne
199,Auvergne,10,4,4,2,,Bordeaux,,Land,Europe,Western Europe,France,Auvergne
200,Montpellier,16,6,5,5,,Valencia,,Land,Europe,Western Europe,France,Languedoc
201,Aix,20,7,7,6,,Genoa,"Natural Harbor
Rhône Estuary",Land,Europe,Western Europe,France,Provence
202,Avignon,11,4,3,4,,Genoa,,Land,Europe,Western Europe,France,Provence
203,Lyonnais,18,6,6,6,,Champagne,Market Town,Land,Europe,Western Europe,France,Savoy
204,Dauphiné,10,4,3,3,,Champagne,,Land,Europe,Western Europe,France,Savoy
205,Chambery,15,6,6,3,,Champagne,,Land,Europe,Western Europe,France,Savoy
206,Corunna,7,3,2,2,,Sevilla,,Land,Europe,Western Europe,Iberia,Galicia
207,Asturias,11,4,4,3,,Sevilla,,Land,Europe,Western Europe,Iberia,Asturias
208,León,10,4,4,2,,Sevilla,Emporium,Land,Europe,Western Europe,Iberia,Leon
209,Vizcaya,6,2,2,2,,Bordeaux,,Land,Europe,Western Europe,Iberia,Vasconia
210,Navarra,7,3,2,2,,Bordeaux,,Land,Europe,Western Europe,Iberia,Vasconia
211,Huesca,7,3,2,2,,Valencia,,Land,Europe,Western Europe,Iberia,Aragon
212,Girona,9,3,3,3,,Valencia,,Land,Europe,Western Europe,Iberia,Catalonia
213,Barcelona,14,6,5,3,,Valencia,Natural Harbor,Land,Europe,Western Europe,Iberia,Catalonia
214,Zaragoza,13,5,5,3,,Valencia,Emporium,Land,Europe,Western Europe,Iberia,Aragon
215,Valladolid,8,3,3,2,,Sevilla,,Land,Europe,Western Europe,Iberia,Castille
216,Salamanca,12,4,4,4,,Sevilla,,Land,Europe,Western Europe,Iberia,Leon
217,Madrid,15,5,5,5,,Sevilla,,Land,Europe,Western Europe,Iberia,Castille
218,Badajoz,8,3,3,2,,Sevilla,,Land,Europe,Western Europe,Iberia,Extremadura
219,Toledo,14,5,5,4,,Sevilla,Emporium,Land,Europe,Western Europe,Iberia,Toledo
220,València,15,6,5,4,,Valencia,Entrepot,Land,Europe,Western Europe,Iberia,Valencia
221,Murcia,10,4,3,3,,Sevilla,,Land,Europe,Western Europe,Iberia,Toledo
222,Almería,6,2,2,2,,Sevilla,,Land,Europe,Western Europe,Iberia,Upper Andalucia
223,Granada,14,6,4,4,,Sevilla,,Land,Europe,Western Europe,Iberia,Upper Andalucia
224,Sevilla,16,6,6,4,,Sevilla,"Entrepot
Guadalquivir Estuary",Land,Europe,Western Europe,Iberia,Lower Andalucia
225,Córdoba,10,4,4,2,,Sevilla,,Land,Europe,Western Europe,Iberia,Lower Andalucia
226,Gibraltar,3,1,1,1,,Sevilla,,Land,Europe,Western Europe,Iberia,Upper Andalucia
227,Lisboa,16,6,7,3,,Sevilla,"Entrepot
Tagus Estuary",Land,Europe,Western Europe,Iberia,Alentejo
228,Beira,11,4,4,3,,Sevilla,,Land,Europe,Western Europe,Iberia,Beiras
229,Beja,9,3,3,3,,Sevilla,,Land,Europe,Western Europe,Iberia,Alentejo
230,Algarve,8,3,3,2,,Sevilla,,Land,Europe,Western Europe,Iberia,Alentejo
231,Porto,19,7,7,5,,Sevilla,"Natural Harbor
Douro Estuary",Land,Europe,Western Europe,Iberia,Beiras
232,Bragança,12,5,5,2,,Sevilla,,Land,Europe,Western Europe,Iberia,Beiras
233,Cornwall,3,1,1,1,,English Channel,,Land,Europe,Western Europe,Britain,Wessex
234,Hampshire,9,3,3,3,,English Channel,,Land,Europe,Western Europe,Britain,Wessex
235,Kent,12,5,5,2,,English Channel,,Land,Europe,Western Europe,Britain,London
236,London,20,7,7,6,,English Channel,"Entrepot
Thames Estuary",Land,Europe,Western Europe,Britain,London
237,Oxford,10,4,4,2,,English Channel,,Land,Europe,Western Europe,Britain,London
238,Essex,14,6,6,2,,English Channel,,Land,Europe,Western Europe,Britain,East Anglia
239,Gloucester,6,2,2,2,,English Channel,Natural Harbor,Land,Europe,Western Europe,Britain,West Midlands
240,Shrewsbury,8,3,3,2,,English Channel,,Land,Europe,Western Europe,Britain,West Midlands
241,Glamorgan,5,2,2,1,,English Channel,,Land,Europe,Western Europe,Britain,Wales
242,Gwynedd,5,2,2,1,,English Channel,,Land,Europe,Western Europe,Britain,Wales
243,Lincolnshire,8,3,3,2,,English Channel,Natural Harbor,Land,Europe,Western Europe,Britain,East Midlands
244,Lancashire,8,3,3,2,,North Sea,,Land,Europe,Western Europe,Britain,Northern England
245,York,8,3,3,2,,English Channel,Emporium,Land,Europe,Western Europe,Britain,Yorkshire
246,Northumberland,8,3,3,2,,North Sea,,Land,Europe,Western Europe,Britain,Northern England
247,Cumbria,5,2,2,1,,North Sea,,Land,Europe,Western Europe,Britain,Northern England
248,Lothian,16,6,6,4,,North Sea,Entrepot,Land,Europe,Western Europe,Britain,Lowlands
249,Ayrshire,10,4,4,2,,North Sea,Natural Harbor,Land,Europe,Western Europe,Britain,Lowlands
250,Perth,10,3,3,4,,North Sea,,Land,Europe,Western Europe,Britain,Highlands
251,Aberdeen,9,3,3,3,,North Sea,,Land,Europe,Western Europe,Britain,Lowlands
252,Inverness,7,2,2,3,,North Sea,,Land,Europe,Western Europe,Britain,Highlands
253,Outer Hebrides,3,1,1,1,,North Sea,,Land,Europe,Western Europe,Britain,The Isles
254,Poznan,17,6,6,5,,Krakow,,Land,Europe,Eastern Europe,Poland,Wielkopolska
255,Kalisz,7,3,3,1,,Krakow,,Land,Europe,Eastern Europe,Poland,Wielkopolska
256,Plock,6,2,2,2,,Krakow,,Land,Europe,Eastern Europe,Poland,Mazovia
257,Warszawa,12,5,5,2,,Krakow,Emporium,Land,Europe,Eastern Europe,Poland,Mazovia
258,Sieradz,7,3,3,1,,Krakow,,Land,Europe,Eastern Europe,Poland,Central Poland
259,Sandomierz,9,4,4,1,,Krakow,,Land,Europe,Eastern Europe,Poland,Sandomierz
260,Lublin,13,5,5,3,,Krakow,Market Town,Land,Europe,Eastern Europe,Poland,Sandomierz
261,Halicz,8,3,3,2,,Krakow,,Land,Europe,Eastern Europe,Poland,Red Ruthenia
262,Krakow,20,7,7,6,,Krakow,Market Town,Land,Europe,Eastern Europe,Poland,Malopolska
263,Ratibor,8,3,3,2,,Krakow,,Land,Europe,Eastern Europe,Poland,Silesia
264,Breslau,13,5,5,3,,Krakow,Emporium,Land,Europe,Eastern Europe,Poland,Silesia
265,Brno,8,3,3,2,,Wien,,Land,Europe,Western Europe,North Germany,Moravia
266,Prague,22,8,8,6,,Saxony,"Religious Center
Market Town",Land,Europe,Western Europe,North Germany,Bohemia
267,Plzen,11,5,5,1,,Saxony,,Land,Europe,Western Europe,North Germany,Erzgebirge
268,Suceava,11,5,4,2,,Crimea,,Land,Europe,Eastern Europe,Carpathia,Moldavia
269,Podlasie,13,5,5,3,,Kiev,,Land,Europe,Eastern Europe,Ruthenia,Podlasie
270,Trakai,8,3,3,2,,Baltic Sea,,Land,Europe,Eastern Europe,Baltic,Samogitia
271,Samogitia,6,2,2,2,,Baltic Sea,,Land,Europe,Eastern Europe,Baltic,Samogitia
272,Vilna,13,5,5,3,,Kiev,Emporium,Land,Europe,Eastern Europe,Baltic,Aukstaitija
273,Latgalia,5,2,2,1,,Baltic Sea,,Land,Europe,Eastern Europe,Baltic,Livonia
274,Pskov,14,5,5,4,,Novgorod,Emporium,Land,Europe,Eastern Europe,Russia,Pskov
275,Polotsk,9,4,4,1,,Novgorod,,Land,Europe,Eastern Europe,Russia,Pskov
276,Minsk,7,3,3,1,,Kiev,,Land,Europe,Eastern Europe,Ruthenia,Minsk
277,Brest,6,2,2,2,,Kiev,,Land,Europe,Eastern Europe,Ruthenia,Podlasie
278,Pinsk,6,3,2,1,,Kiev,,Land,Europe,Eastern Europe,Ruthenia,Pripyat
279,Volhynia,10,4,4,2,,Kiev,,Land,Europe,Eastern Europe,Ruthenia,Volhynia
280,Kiev,10,4,4,2,,Kiev,Market Town,Land,Europe,Eastern Europe,Ruthenia,West Dniepr
281,Podolia,6,2,2,2,,Kiev,,Land,Europe,Eastern Europe,Ruthenia,Podolia
